Parent,Reference,SiO2 ,Al2O3 ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,MnO ,FeO *,K2O+Na2O,Cr2O3 
15498,170,47.52,9.82,9.42,10.26,0.25,0.05,2.14,0.06,0.3,19.98,0.3,0.56
15498,170,48.06,10.67,8.12,10.78,0.37,0.04,2.17,0.08,0.23,18.96,0.41,0.54
15498,170,47.86,10.07,8.43,10.82,0.26,0.04,2,0.06,0.26,19.09,0.3,0.59
15498,170,47.74,10.27,8.04,11.01,0.24,0.02,2.14,0.09,0.26,19.43,0.26,0.47
15498,170,48.09,10.37,8.56,10.68,0.25,0.04,1.93,0.05,0.24,18.96,0.29,0.58
15498,170,47.67,10.2,8.56,11.32,0.27,0.05,1.59,0.05,0.28,18.99,0.32,0.36
15498,170,46.82,10.35,7.92,10.88,0.26,0.04,2.06,0.06,0.26,20.27,0.3,0.39
15498,170,46.59,11.62,5.95,11.8,0.37,0.03,2.17,0.03,0.22,20.55,0.4,0.25
15498,170,47.18,11.03,6.98,11.24,0.26,0.05,2.22,0.06,0.26,20,0.31,0.33
15498,170,47.49,13,4.61,11.52,0.31,0.04,2.48,0.1,0.22,19.67,0.35,0.16
15498,170,46.88,12.71,4.92,11.56,0.27,0.05,2.63,0.06,0.26,21,0.32,0.16
15498,170,43.07,4.42,24.1,6.84,0.1,0.01,0.53,0.06,0.26,19.67,0.11,0.98
15498,170,44.44,7.76,16.41,7.84,0.18,0.03,1.5,0.07,0.22,20.77,0.21,0.95
15498,170,44.71,8.13,13.63,8.92,0.2,0.03,1.49,0.04,0.24,20.83,0.23,0.91
15498,170,45.14,9.37,9.31,10.67,0.25,0.03,2.25,0.08,0.24,20.13,0.28,0.56
15498,170,44.54,7.75,11.65,9.2,0.2,0.03,2.46,0.03,0.26,23.44,0.23,0.71
15498,170,45.83,8.7,7.87,11.47,0.24,0.04,2.28,0.05,0.28,21.57,0.28,0.32
15498,170,45.19,7.96,9.49,9.93,0.26,0.03,2.47,0.05,0.3,23.26,0.29,0.54
15498,170,46.98,8.25,12.74,8.91,0.21,0.03,1.65,0.04,0.26,19.71,0.24,0.9
15498,170,47.7,8.35,11.83,9.15,0.19,0.03,1.9,0.06,0.22,19.75,0.22,0.77
15498,170,47.39,9.01,9.73,10.3,0.23,0.03,1.73,0.05,0.28,20.19,0.26,0.54
15434,171,56.9,6.4,4.7,8.3,0.56,2.17,1.13,1.33,0.28,17.8,2.73,0.17
15434,171,56,9.8,5.5,10.5,0.66,0.72,1.11,0.29,0.27,14.7,1.38,0.27
15434,171,56.2,9.8,5,10.1,0.71,0.53,0.93,0.25,0.27,14.2,1.24,
15434,171,51.6,16.4,9.2,9.8,0.8,0.55,1.92,0.47,0.14,10,1.35,0.31
15115,172,,9.6,8,10,0.306,0.055,1.8,,0.275,20,0.361,0.446
15661,172,,8.7,12,8.6,0.25,0.036,1.9,,0.257,21.9,0.286,0.653
15669,172,,9.3,10,11.3,0.267,0.04,2.4,,0.268,22.3,0.307,0.536
15675,172,,9,10,9.1,0.262,0.044,2.2,,0.259,21.4,0.306,0.492
15677,172,,8.8,12,8.4,0.251,0.04,2,,0.264,22.5,0.291,0.599
15605,172,,9.1,11,10.1,0.257,0.051,2.1,,0.268,22.3,0.308,0.606
15612,172,,8.5,12,9.2,0.244,0.037,2.2,,0.26,22.2,0.281,0.803
15614,172,,8.8,11,8.9,0.25,0.034,2,,0.267,21.3,0.284,0.684
15616,172,,8.7,12,8.3,0.238,0.043,2,,0.264,21.8,0.281,0.91
15617,172,,8.8,12,8.5,0.256,0.041,2.1,,0.268,21.8,0.297,0.722
15623,172,,8.6,13,9.2,0.241,0.043,2,,0.266,23.2,0.284,0.854
15630,172,,8.9,11,8.8,0.252,0.044,2,,0.268,20.8,0.296,0.782
15634,172,,9.8,13,9.1,0.269,0.02,1.5,,0.249,19.9,0.289,0.637
15639,172,,9.4,12,8.9,0.28,0.038,1.8,,0.264,21.9,0.318,0.605
15641,172,,8.8,12,9.2,0.252,0.034,1.9,,0.268,21.9,0.286,0.6
15649,172,,9.1,12,9.1,0.255,0.042,2.2,,0.26,21.7,0.297,0.524
15662,172,,9.5,10,9.4,0.271,0.04,2.3,,0.273,22.5,0.311,0.647
15664,172,,8.5,13,9.2,0.238,0.04,2.1,,0.276,22.6,0.278,0.634
15671,172,,8.7,12,8.5,0.251,0.038,2,,0.264,21.6,0.289,0.654
15673,172,,8.7,12,8.8,0.254,0.046,1.9,,0.257,20.7,0.3,0.616
15648,172,,9.9,11,9.7,0.284,0.041,2.2,,0.258,20.1,0.325,0.508
15556,93,45.11,9.43,7.73,10.83,0.26,0.03,2.76,0.08,0.29,22.25,0.29,
15256,93,44.93,8.89,9.08,10.27,0.28,0.03,2.54,0.06,0.29,22.21,0.31,
15256,93,45.12,8.95,9.32,10.14,0.25,0.04,2.51,0.07,0.32,22.52,0.29,
15668,93,45.48,9.09,9.19,10.23,0.26,0.05,2.56,0.08,0.31,22.22,0.31,
15545,93,45.02,8.77,10.36,9.89,0.21,0.03,2.33,0.05,0.3,22.02,0.24,
15016,93,43.97,8.43,11.14,9.4,0.21,0.03,2.31,0.07,0.33,22.58,0.24,
15555,93,44.24,8.48,11.19,9.45,0.24,0.03,2.26,0.06,0.29,22.47,0.27,
15475,93,47.82,9.52,8.28,10.65,0.24,0.04,1.96,0.07,0.29,19.95,0.28,
15499,93,47.62,9.27,8.94,10.4,0.29,0.06,1.81,0.08,0.28,20.26,0.35,
15058,93,47.81,8.87,9.01,10.32,0.28,0.03,1.77,0.08,0.28,19.97,0.31,
15076,93,48.8,9.3,9.46,10.82,0.26,0.03,1.46,0.03,0.27,18.62,0.29,
15076,93,48.06,9.63,7.8,10.74,0.29,0.05,2.01,0.08,0.29,20.22,0.34,0.31
15118,93,47.16,10.72,6.49,11.65,0.32,0.06,2.05,0.1,0.28,20.39,0.38,
15385,93,40.72,4.81,17.66,6.48,0.15,0.06,2.68,0.08,0.32,25.27,0.21,
15386,93,50.83,14.77,8.17,9.71,0.73,0.67,2.23,0.7,0.16,10.55,1.4,
15256,96,44.9,8.97,9.82,9.87,0.274,0.045,2.46,0.067,0.282,21.85,0.319,
15668,96,44.6,8.81,10.13,9.71,0.234,0.043,2.43,0.064,0.281,22.32,0.277,
15675,96,44.7,9.19,9.28,9.94,0.243,0.046,2.55,0.07,0.283,22.3,0.289,
15676,96,44.7,9.16,9.51,9.93,0.248,0.044,2.55,0.064,0.283,22.32,0.292,
15674,96,44.6,9.17,9.45,9.97,0.243,0.044,2.54,0.067,0.283,22.28,0.287,
15119,96,44.9,8.96,9.38,10.04,0.264,0.048,2.57,0.072,0.281,22.23,0.312,
15556,96,45.7,9.48,8.15,10.56,0.257,0.047,2.62,0.07,0.28,21.67,0.304,
15556,96,45.7,9.24,8.67,10.38,0.273,0.046,2.58,0.07,0.281,21.89,0.319,
15529,96,45.7,9.19,8.91,10.27,0.244,0.044,2.58,0.068,0.286,21.84,0.288,
15557,96,44.8,9.01,9.61,9.98,0.252,0.044,2.55,0.063,0.284,22.02,0.296,
15598,96,45.2,8.82,9.7,9.89,0.22,0.043,2.55,0.063,0.284,22.38,0.263,
15545,96,45,8.65,10.51,9.65,0.223,0.044,2.31,0.064,0.282,22.14,0.267,
15535,96,45.1,8.49,11.17,9.37,0.222,0.041,2.25,0.059,0.281,22.47,0.263,
15536,96,44.1,8.11,10.99,9.24,0.217,0.043,2.39,0.065,0.289,23.05,0.26,
15683,96,44.5,8.99,10.33,9.62,0.235,0.042,2.41,0.064,0.284,22.03,0.277,
15647,96,44.4,9,10.04,9.65,0.222,0.044,2.44,0.065,0.283,22.36,0.266,
15607,96,45.2,9.01,9.95,9.83,0.237,0.044,2.45,0.065,0.281,22.23,0.281,
15379,96,44.9,8.76,10.07,9.72,0.22,0.045,2.42,0.065,0.283,22.34,0.265,
15016,96,44.6,8.54,11.22,9.37,0.222,0.043,2.24,0.068,0.28,21.74,0.265,
15630,96,44.1,8.84,11.5,9.2,0.229,0.042,2.26,0.067,0.281,21.62,0.271,
15622,96,44.1,8.58,11.75,9.02,0.242,0.044,2.27,0.069,0.282,22.15,0.286,
15672,96,44.7,9.54,11.65,9.26,0.228,0.038,2,0.062,0.273,20.97,0.266,
15546,96,44.8,8.55,10.43,9.59,0.232,0.046,2.43,0.069,0.282,22.4,0.278,
15547,96,44.3,8.29,11.35,9.26,0.216,0.044,2.3,0.069,0.283,22.75,0.26,
15555,96,44.5,8.21,11.16,9.22,0.228,0.042,2.3,0.065,0.282,22.75,0.27,
15555,96,45,9.16,11.32,9.47,0.234,0.036,2.02,0.053,0.275,21.49,0.27,
15636,96,44.6,9.44,11.39,9.4,0.234,0.038,1.98,0.053,0.272,21.26,0.272,
15256,96,44.2,8.8,9.6,9.9,0.26,0.04,2.43,0.11,0.28,21.9,0.3,
15668,96,45.1,9.2,10,9.9,0.24,0.05,2.56,0.06,0.28,21.9,0.29,
15675,96,45.3,9.5,9.1,9.9,0.23,0.05,2.57,0.07,0.28,21.8,0.28,
15676,96,44.5,9.1,10.3,9.6,0.23,0.04,2.41,0.06,0.28,21.9,0.27,
15674,96,44.7,9.7,9.3,9.9,0.25,0.05,2.61,0.08,0.28,21.9,0.3,
15119,96,44.8,8.9,9.2,10.1,0.25,0.05,2.55,0.1,0.29,22.2,0.3,
15556,96,44.7,9.6,7.8,10.6,0.28,0.04,2.6,0.09,0.29,21.4,0.32,
15556,96,44.8,9.5,8.5,10.5,0.3,0.05,2.63,0.09,0.24,21.3,0.35,
15529,96,44.6,9.3,8.7,10.3,0.25,0.05,2.68,0.09,0.28,21.6,0.3,
15557,96,44.9,9.1,9.3,10,0.25,0.05,2.62,0.07,0.3,22.2,0.3,
15598,96,44.4,8.8,9.6,10,0.25,0.05,2.55,0.08,0.27,22.2,0.3,
15598,96,45.1,8.5,9.8,10.2,0.23,0.03,2.45,0.05,0.28,22.6,0.26,
15545,96,44.6,8.8,10.4,9.7,0.23,0.04,2.39,0.08,0.28,22,0.27,
15535,96,44.2,8.6,10.8,9.4,0.23,0.04,2.31,0.09,0.28,22.1,0.27,
15536,96,44.5,8.4,10.9,9,0.23,0.05,2.31,0.06,0.28,23,0.28,
15536,96,44.4,7.7,11.1,9.5,0.25,0.04,2.3,0.04,0.31,23.2,0.29,
15683,96,45.4,9.3,9.5,10,0.24,0.05,2.5,0.07,0.28,22,0.29,
15647,96,44.7,9.1,10.3,9.6,0.29,0.04,2.36,0.11,0.33,21.6,0.33,
15607,96,45,9.2,9.9,9.9,0.31,0.05,2.42,0.09,0.26,21.1,0.36,
15379,96,44.4,8.8,9.9,9.7,0.23,0.04,2.48,0.09,0.28,22,0.27,
15016,96,44.3,8.8,11,9.4,0.21,0.04,2.25,0.09,0.29,21.3,0.25,
15630,96,43.8,8.9,11,9.2,0.31,0.04,2.26,0.12,0.26,21.4,0.35,
15622,96,43.7,8.4,11.5,9,0.24,0.04,2.24,0.11,0.3,22,0.28,
15672,96,44.3,9.8,11.4,9.2,0.23,0.04,2.12,0.06,0.27,21.2,0.27,
15546,96,44.8,8.7,10.5,9.5,0.18,0.04,2.5,0.05,0.29,22.1,0.22,
15546,96,45.2,8.2,10.8,9.8,0.23,0.03,2.41,0.04,0.3,22.5,0.26,
15547,96,44.7,8.4,11.3,9.4,0.21,0.04,2.43,0.05,0.29,22.4,0.25,
15547,96,44.3,8,11.5,9.4,0.21,0.03,2.22,0.06,0.28,22.7,0.24,
15555,96,43.7,8.3,11.1,9.2,0.22,0.04,2.45,0.1,0.28,22.6,0.26,
15555,96,44.8,8.6,11.2,9.5,0.26,0.04,2.06,0.1,0.28,22,0.3,
15636,96,45.2,9.6,11.2,9.5,0.26,0.04,2,0.06,0.27,21,0.3,
15636,96,44.8,9.1,11.6,9.6,0.23,0.03,1.93,0.03,0.27,21.2,0.26,
15265,95,44.93,9.07,7.23,11.44,0.28,0.02,2.34,,,24.23,0.296016048,
15299,95,46.22,9.07,7.23,12.94,0.24,0.05,2.22,,,24.37,0.283695502,
15299,95,42.79,5.86,13.95,8.62,0.18,0.02,1.42,,,25.96,0.208958204,
15495,95,,9.07,,12.44,0.32,0.09,2.84,,,25.96,0.414826807,
15495,95,47.93,8.69,6.46,11.94,0.31,0.1,2.25,,,24.66,0.410424305,
15536,95,,8.88,9.68,11.44,0.27,0.05,2.32,,,27.11,0.326763407,
15536,95,,7.56,8.39,10.95,0.24,0.05,2.69,,,26.97,0.289087412,
15085,106,46.39,5.79,8.2,9.12,0.21,0.07,3.07,0.09,0.37,26.75,0.28,0.67
15256,106,45.32,9.2,9.45,10.17,0.3,0.12,2.54,0.07,0.35,22.51,0.42,0.31
15471,106,46.43,13.43,11.15,10.58,0.37,0.17,1.61,0.11,0.26,16.2,0.54,0.35
15471,106,46.22,15.35,10.11,10.77,0.36,0.18,1.65,0.12,0.23,14.51,0.54,0.28
15475,106,48.32,9.23,9.54,10.33,0.27,0.05,1.57,0.05,0.31,20.17,0.32,0.66
15476,106,48.46,9.54,8.69,10.5,0.28,0.07,1.75,0.05,0.28,20.76,0.35,0.43
15535,106,44.46,8.68,11.27,9.2,0.28,0.04,2.19,0.06,0.33,23.8,0.32,0.57
15555,106,44.75,8.67,11.48,9.14,0.24,0.05,2.07,0.05,0.3,23.4,0.29,0.61
15556,106,46.18,9.85,8.03,10.72,0.3,0.09,2.64,0.07,0.32,21.7,0.39,0.77
15065,174,47.7,6.05,9.52,9.33,0.27,0.081,2.86,0.119,0.307,23.77,0.351,0.54
15065,174,48.2,10.32,10.35,9.55,0.33,0.041,1.44,0.104,0.234,18.46,0.371,0.47
15555,174,45,9.37,12.22,9.25,0.26,0.028,1.6,0.066,0.261,21.18,0.288,0.47
15076,173,48.82,8.31,9.43,10.3,0.4,0.08,1.83,0.05,0.29,20.45,0.48,0.31
15065,173,48.47,9.26,10.58,9.94,0.34,0.05,1.48,0.05,0.26,19.18,0.39,0.53
15486,173,48.25,10,8.8,10.25,0.37,0.08,1.81,0.13,0.29,19.85,0.45,0.5
15495,173,47.98,8.97,8.96,10.26,0.31,0.07,2,0.08,0.29,20.74,0.38,0.29
15065,173,47.95,5.33,10.15,9.3,0.25,0.07,2.3,0.09,0.31,23.6,0.32,0.5
15117,173,47.8,9.89,8.02,10.98,0.33,0.07,2.09,0.11,0.29,20.41,0.4,0.28
15557,173,45.74,8.88,9.43,10.29,0.27,0.05,2.55,0.07,0.28,22.35,0.32,0.45
15607,173,45.55,8.55,9.96,10.1,0.35,0.05,2.51,0.08,0.29,22.33,0.4,0.5
15659,173,45.33,8.17,12.27,8.98,0.27,0.06,2.25,0.12,0.26,22.17,0.33,0.5
15555,173,45.21,10.32,11.2,9.96,0.35,0.05,1.73,0.05,0.25,20.16,0.4,0.66
15643,173,44.8,9.08,12.2,9.48,0.27,0.05,2.01,0.09,0.28,21.28,0.32,0.49
15672,173,44.8,8.62,11.98,9.44,0.28,0.06,2.16,0.12,0.27,21.78,0.34,0.47
15379,173,44.6,8.27,10.75,9.55,0.27,0.06,2.51,0.12,0.29,22.92,0.33,0.64
15016,173,44.3,8.39,11.65,9.2,0.32,0.05,2.27,0.06,0.29,22.95,0.37,0.66
15676,173,44.1,8.76,9.82,10.1,0.31,0.06,2.66,0.11,0.28,23.03,0.37,0.47
15016,178,43.97,8.43,11.14,9.4,0.21,0.03,2.31,0.07,0.33,22.58,0.24,
15058,178,47.81,8.87,9.01,10.32,0.28,0.03,1.77,0.08,0.28,19.97,0.31,
15076,178,48.8,9.3,9.46,10.82,0.26,0.03,1.46,0.03,0.27,18.62,0.29,
15256,178,44.93,8.89,9.08,10.27,0.28,0.03,2.54,0.06,0.29,22.21,0.31,
15499,178,47.62,9.27,8.94,10.4,0.29,0.06,1.81,0.08,0.28,20.26,0.35,
15555,178,44.24,8.48,11.19,9.45,0.24,0.03,2.26,0.06,0.29,22.47,0.27,0.7
15556,178,45.11,9.43,7.73,10.83,0.26,0.03,2.76,0.08,0.29,22.25,0.29,
15058,181,49.6,9.3,8.49,10.6,0.305,0.061,2.08,,,20.1,0.366,
15116,181,51,9.94,7.87,9.57,0.335,0.06,1.78,,,20,0.395,
15125,181,48.4,9.11,9.19,8.04,0.351,0.053,1.8,,,20.3,0.404,
15380,181,46.1,8.33,10.2,9.85,0.258,0.057,2.55,,,22.8,0.315,
15535,181,45.3,8.37,11.2,9.68,0.267,0.044,2.15,,,22.9,0.311,
15597,181,48,9.55,9.06,10.4,0.317,0.078,1.84,,,20.6,0.395,
15606,181,47.7,8.72,10,9.56,0.257,0.053,2.51,,,22,0.31,
15633,181,44.1,7.2,10.7,9.09,0.305,0.056,3.04,,,25,0.361,
15647,181,46.2,7.86,10.4,9.67,0.275,0.047,3.01,,,23.9,0.322,
15658,181,46.5,9.11,10,10,0.257,0.049,2.69,,,22.5,0.306,
15563,181,46.5,8.73,10.4,10.6,0.261,0.046,2.39,,,21.8,0.307,
15665,181,44.4,8.25,10.3,9.42,0.298,0.046,2.64,,,23.4,0.344,
15678,181,46,8.9,9.76,10.1,0.264,0.039,2.56,,,22,0.303,
15682,181,48.5,9.88,7.17,10.6,0.351,0.061,2.13,,,20.6,0.412,
15683,181,45.8,8.04,9.6,9.37,0.297,0.053,2.91,,,22.8,0.35,
15688,181,47.7,9.93,9.92,9.93,0.344,0.074,2.34,,,20.8,0.418,
15386,187,50.83,17.77,8.17,9.71,0.73,0.67,2.23,0.7,0.16,10.55,1.4,0.35
15476,188,,9.17,8.29,13.85,0.35,,1.9,,0.28,19.42,0.35048,0.48
15555,188,,8.41,,10.35,0.28,,2.03,,0.3,22.12,0.28308,0.7
15556,188,,9.24,,9.93,0.28,,2.05,,0.3,21.35,0.28308,0.69
15016,189,44.3,8.39,11.65,9.2,0.32,0.05,2.27,0.06,0.29,22.95,0.37,0.66
15065,189,47.95,5.33,10.15,9.3,0.25,0.07,2.3,0.09,0.31,23.6,0.32,0.5
15065,189,48.47,9.26,10.58,9.94,0.34,0.05,1.48,0.05,0.26,19.18,0.39,0.53
15076,189,48.82,8.31,9.43,10.3,0.4,0.08,1.83,0.05,0.29,20.45,0.48,0.31
15117,189,47.8,9.89,8.02,10.98,0.33,0.07,2.09,0.11,0.29,20.41,0.4,0.28
15379,189,44.6,8.27,10.75,9.55,0.27,0.06,2.51,0.12,0.29,22.92,0.33,0.64
15495,189,47.98,8.97,8.96,10.26,0.31,0.07,2,0.08,0.29,20.74,0.38,0.29
15555,189,45.21,10.32,11.2,9.96,0.35,0.05,1.73,0.05,0.25,20.16,0.4,0.66
15557,189,45.74,8.88,9.43,10.29,0.27,0.05,2.55,0.07,0.28,22.35,0.32,0.45
15607,189,45.55,8.55,9.96,10.1,0.35,0.05,2.51,0.06,0.29,22.33,0.4,0.5
15643,189,44.8,9.08,12.2,9.48,0.27,0.05,2.01,0.09,0.28,21.28,0.32,0.49
15659,189,45.33,8.17,12.27,8.98,0.27,0.06,2.25,0.12,0.26,22.17,0.33,0.5
15672,189,44.8,8.62,11.98,9.44,0.28,0.06,2.16,0.12,0.27,21.78,0.34,0.47
15676,189,44.1,8.76,9.82,10.1,0.31,0.06,2.66,0.11,0.28,23.03,0.37,0.47
15271,192,46.73,16.19,10.48,11.23,0.53,0.19,1.42,0.21,0.17,12.19,0.72,0.58
15545,192,45.72,8.3,10.39,9.62,0.28,0.04,2.4,0.11,0.3,21.99,0.32,0.63
15555,192,44.22,7.54,11.11,9.18,0.29,0.04,2.36,0.06,0.29,24.24,0.33,0.73
15557,192,45.06,8.82,9.52,10.05,0.34,0.04,2.43,0.07,0.29,22.5,0.38,0.67
15065,195,47.02,9.32,10.6,9.57,0.26,0.042,1.53,,,19.25,0.302,
15065,195,47.4,9.53,10.52,9.71,,0.05,1.57,0.06,0.255,18.91,0.05,0.68
15065,195,,,,,0.19,,,,0.27,,0.19,0.57
15065,195,47.31,9.15,10.95,9.31,,,1.42,0.09,0.27,19.34,0,
15065,195,,,,8.9,,0.06,1.65,,0.24,,0.06,0.68
15556,195,,9.41,7.85,10.41,0.26,0.043,2.65,,0.29,21.62,0.303,
15556,195,46.6,9.36,8.29,10.58,,0.05,2.68,0.08,0.25,21.72,0.05,0.64
15556,195,47,,,10.55,0.18,0.06,,,0.27,,0.24,0.61
15556,195,44.99,9.54,8.11,10.64,,0.08,2.65,0.09,0.28,21.51,0.08,
15556,195,,,,10.5,,0.05,2.72,,0.23,,0.05,0.63
15557,196,45.01,8.84,9.38,9.99,0.25,0.045,2.53,0.071,0.284,22.68,0.295,0.58
15495,196,48,9.57,8.42,10.43,,0.062,1.8,0.09,0.261,20.07,0.062,0.51
15058,196,48.47,8.9,9.56,10.23,0.28,0.038,1.6,0.049,0.274,19.75,0.318,0.66
15085,99,46.61,7.13,7.9,9.68,0.26,0.059,2.63,0.107,0.297,24.38,0.319,0.613
15085,99,47.73,9.92,8.84,10.63,0.33,0.035,1.96,0.064,0.259,19.69,0.365,0.521
15476,99,47.84,10.02,8.35,10.74,0.35,0.043,1.82,0.081,0.261,19.79,0.393,0.467
15065,97,49.01,12.66,8.75,,,,1.37,,,17.49,0,
15065,97,,,,10.77,,,1.43,,,18,0,
15065,97,48.9,12.85,8.82,11.28,,,1.28,,,17.37,0,
15475,97,49.01,9.83,8.27,,,,,,,19.8,0,
15475,97,,,,10.21,,,,,,19.8,0,
15475,97,48.81,9.7,8.44,10.81,,,1.75,,,19.89,0,
15495,97,49.01,9.09,9.67,,,,1.47,,,19.29,0,
15495,97,,,,,,,1.55,,,19.1,0,
15495,97,48.73,9.66,9.67,10.44,,,1.53,,,19.51,0,
15065,98,48.66,9.17,10.57,9.7,0.36,0.11,1.55,,,19.07,0.47,0.82
15555,98,45.86,8.29,11.55,9.24,0.34,0.09,2.4,,,23.45,0.43,0.69
15557,100,45.01,8.84,9.38,9.99,0.25,0.045,2.53,0.071,0.284,22.68,0.295,0.58
15495,100,48,9.57,8.42,10.43,,0.062,1.8,0.09,0.261,20.07,0.062,0.51
15058,100,48.47,8.9,9.56,10.23,0.28,0.038,1.6,0.049,0.274,19.75,0.318,0.66
15116,251,49.2,10.2,7.3,10.4,0.38,0.02,1.16,0.04,0.22,19,0.4,0.32
15118,251,48.7,9.7,7,9.9,0.39,0.08,2.1,0.09,0.27,21.1,0.47,0.26
15682,251,48,10.5,7.3,11.3,0.45,0.09,2.15,0.08,0.26,21,0.54,0.34
15125,251,47.5,8.3,9.4,9.3,0.33,0.05,2.27,0.08,0.27,22.3,0.38,0.54
15666,251,46.9,9.2,9.5,9.7,0.37,0.02,1.97,0.08,0.25,21.3,0.39,0.44
15684,251,47.7,8.4,10.8,8.9,0.33,0.05,1.45,0.03,0.29,21.5,0.38,0.55
15665,251,46.7,10.2,7.7,10.6,0.39,0.06,2.94,0.09,0.28,21.7,0.45,0.65
15105,251,45.9,8.2,9,10.2,0.32,0.03,2.97,0.09,0.24,22.7,0.35,0.35
15676,251,44.2,8.9,9.2,9.5,0.31,0.01,3,0.08,0.27,22.4,0.32,0.37
15678,251,45.5,9.4,9,10.3,0.38,0.05,2.64,0.08,0.3,22.6,0.43,0.48
15607,251,44.6,8.8,9.7,9.8,0.33,0.02,2.58,0.09,0.24,22.3,0.35,0.44
15669,251,44.3,8,10.1,9.4,0.31,0.03,3.1,0.07,0.28,24.3,0.34,0.36
15697,251,44.8,9,10.5,8.8,0.33,0.04,2.35,0.07,0.26,23.6,0.37,0.44
15672,251,44.7,10.4,9.3,9.9,0.38,0.03,2.75,0.09,0.27,21.6,0.41,0.55
15610,251,44.8,7.8,10.7,9.6,0.28,0.06,2.86,0.18,0.25,22.9,0.34,0.5
15663,251,44.5,8.4,10.3,10.1,0.37,0.08,2.89,0.07,0.26,22.2,0.45,0.59
15641,251,44.4,10.1,10.2,9.7,0.37,0.06,2.18,0.07,0.24,21.3,0.43,0.44
15620,251,44.9,9.7,10.9,9.6,0.36,0.04,2.63,0.13,0.28,21.9,0.4,0.4
15617,251,45.7,8,11.8,9.2,0.28,0.01,2.03,0.06,0.25,22.6,0.29,0.42
15633,251,46.4,8.5,12.7,8.6,0.27,0.02,1.28,0.05,0.28,22.2,0.29,0.47
15613,251,44.1,9.6,10.4,9.4,0.34,0.04,2.66,0.06,0.24,22.9,0.38,0.44
15643,251,45.4,7.2,12.5,8.6,0.25,0.03,1.87,0.07,0.27,23.7,0.28,0.46
15651,251,43.7,8.9,10.9,9,0.25,,3.1,0.04,0.25,23.9,0.25,0.34
15623,251,45.1,8.6,11.4,9.5,0.3,0.02,1.46,0.17,0.22,23.1,0.32,0.6
15615,251,43.8,9.2,11.3,9,0.32,0.03,2.37,0.05,0.26,23.4,0.35,0.5
15385,251,41.4,8.8,16.9,7.3,0.32,,1.99,0.03,0.24,21.2,0.32,0.81
